T,i1,f1,i2,f2,k_VV
300.0,1,0,0,1,1.2836770680237246e-14
300.0,2,1,0,1,2.4913425246611576e-14
300.0,2,1,1,2,5.260833340768888e-14
300.0,2,3,1,0,3.351875188207312e-14
300.0,3,2,0,1,3.351875188207312e-14
300.0,3,2,1,2,7.65865552589994e-14
300.0,3,2,2,3,1.2131028337543513e-13
300.0,3,4,1,0,3.7526905807416555e-14
300.0,3,4,2,1,9.160598911789857e-14
300.0,4,3,0,1,3.7526905807416555e-14
300.0,4,3,1,2,9.160598911789857e-14
300.0,4,3,2,3,1.5700358457555612e-13
300.0,4,3,3,4,2.2108540263571158e-13
1150.0,1,0,0,1,7.659489368382111e-14
1150.0,2,1,0,1,1.5323250135755707e-13
1150.0,2,1,1,2,3.132864117162302e-13
1150.0,2,3,1,0,2.2504962530818235e-13
1150.0,3,2,0,1,2.2504962530818235e-13
1150.0,3,2,1,2,4.700721485613236e-13
1150.0,3,2,2,3,7.209189202662299e-13
1150.0,3,4,1,0,2.8789608539102314e-13
1150.0,3,4,2,1,6.136783764380958e-13
1150.0,4,3,0,1,2.8789608539102314e-13
1150.0,4,3,1,2,6.136783764380958e-13
1150.0,4,3,2,3,9.615909381738536e-13
1150.0,4,3,3,4,1.311013961239454e-12
2000.0,1,0,0,1,1.583730942238417e-13
2000.0,2,1,0,1,3.1807625291625797e-13
2000.0,2,1,1,2,6.465021356674643e-13
2000.0,2,3,1,0,4.733774701475974e-13
2000.0,3,2,0,1,4.733774701475973e-13
2000.0,3,2,1,2,9.737435107897432e-13
2000.0,3,2,2,3,1.4846480138829448e-12
2000.0,3,4,1,0,6.188697500491558e-13
2000.0,3,4,2,1,1.2879574156274542e-12
2000.0,4,3,0,1,6.188697500491558e-13
2000.0,4,3,1,2,1.2879574156274542e-12
2000.0,4,3,2,3,1.9876853929272456e-12
2000.0,4,3,3,4,2.6940968482615642e-12
