T,i1,f1,i2,f2,k_VV
300.0,0,1,1,0,1.283677068023725e-14
300.0,0,1,2,1,2.4913425246611576e-14
300.0,0,1,3,2,3.351875188207312e-14
300.0,0,1,4,3,3.7526905807416555e-14
300.0,0,1,5,4,3.7392918236210524e-14
300.0,0,1,6,5,3.437253954083191e-14
300.0,1,0,0,1,1.283677068023725e-14
300.0,1,0,1,2,2.4913425246611576e-14
300.0,1,0,2,3,3.351875188207312e-14
300.0,1,0,3,4,3.7526905807416555e-14
300.0,1,0,4,5,3.7392918236210524e-14
300.0,1,0,5,6,3.437253954083191e-14
300.0,1,2,1,0,2.4913425246611576e-14
300.0,1,2,2,1,5.260833340768888e-14
300.0,1,2,3,2,7.658655525899939e-14
300.0,1,2,4,3,9.160598911789855e-14
300.0,1,2,5,4,9.616868293434871e-14
300.0,1,2,6,5,9.201245660325845e-14
300.0,2,1,0,1,2.4913425246611576e-14
300.0,2,1,1,2,5.260833340768888e-14
300.0,2,1,2,3,7.658655525899939e-14
300.0,2,1,3,4,9.160598911789855e-14
300.0,2,1,4,5,9.616868293434871e-14
300.0,2,1,5,6,9.201245660325845e-14
300.0,2,3,1,0,3.351875188207312e-14
300.0,2,3,2,1,7.658655525899939e-14
300.0,2,3,3,2,1.2131028337543513e-13
300.0,2,3,4,3,1.5700358457555612e-13
300.0,2,3,5,4,1.7608881490621426e-13
300.0,2,3,6,5,1.7750276014250214e-13
300.0,3,2,0,1,3.351875188207312e-14
300.0,3,2,1,2,7.658655525899939e-14
300.0,3,2,2,3,1.2131028337543513e-13
300.0,3,2,3,4,1.5700358457555612e-13
300.0,3,2,4,5,1.7608881490621426e-13
300.0,3,2,5,6,1.7750276014250214e-13
300.0,3,4,1,0,3.7526905807416555e-14
300.0,3,4,2,1,9.160598911789855e-14
300.0,3,4,3,2,1.5700358457555612e-13
300.0,3,4,4,3,2.2108540263571158e-13
300.0,3,4,5,4,2.6829548630243634e-13
300.0,3,4,6,5,2.8892954075861804e-13
300.0,4,3,0,1,3.7526905807416555e-14
300.0,4,3,1,2,9.160598911789855e-14
300.0,4,3,2,3,1.5700358457555612e-13
300.0,4,3,3,4,2.2108540263571158e-13
300.0,4,3,4,5,2.6829548630243634e-13
300.0,4,3,5,6,2.8892954075861804e-13
300.0,4,5,1,0,3.7392918236210524e-14
300.0,4,5,2,1,9.616868293434871e-14
300.0,4,5,3,2,1.7608881490621426e-13
300.0,4,5,4,3,2.6829548630243634e-13
300.0,4,5,5,4,3.5423560529475584e-13
300.0,4,5,6,5,4.127522651181299e-13
300.0,5,4,0,1,3.7392918236210524e-14
300.0,5,4,1,2,9.616868293434871e-14
300.0,5,4,2,3,1.7608881490621426e-13
300.0,5,4,3,4,2.6829548630243634e-13
300.0,5,4,4,5,3.5423560529475584e-13
300.0,5,4,5,6,4.127522651181299e-13
300.0,5,6,1,0,3.437253954083191e-14
300.0,5,6,2,1,9.201245660325845e-14
300.0,5,6,3,2,1.7750276014250214e-13
300.0,5,6,4,3,2.8892954075861804e-13
300.0,5,6,5,4,4.127522651181299e-13
300.0,5,6,6,5,5.232349584648413e-13
300.0,6,5,0,1,3.437253954083191e-14
300.0,6,5,1,2,9.201245660325845e-14
300.0,6,5,2,3,1.7750276014250214e-13
300.0,6,5,3,4,2.8892954075861804e-13
300.0,6,5,4,5,4.127522651181299e-13
300.0,6,5,5,6,5.232349584648413e-13
933.3333333333334,0,1,1,0,5.814640348074074e-14
933.3333333333334,0,1,2,1,1.1605029842061592e-13
933.3333333333334,0,1,3,2,1.6919417030863614e-13
933.3333333333334,0,1,4,3,2.139160579593554e-13
933.3333333333334,0,1,5,4,2.479494529710415e-13
933.3333333333334,0,1,6,5,2.705037713310509e-13
933.3333333333334,1,0,0,1,5.814640348074074e-14
933.3333333333334,1,0,1,2,1.1605029842061592e-13
933.3333333333334,1,0,2,3,1.6919417030863614e-13
933.3333333333334,1,0,3,4,2.139160579593554e-13
933.3333333333334,1,0,4,5,2.479494529710415e-13
933.3333333333334,1,0,5,6,2.705037713310509e-13
933.3333333333334,1,2,1,0,1.1605029842061592e-13
933.3333333333334,1,2,2,1,2.379483455533943e-13
933.3333333333334,1,2,3,2,3.561969681493326e-13
933.3333333333334,1,2,4,3,4.61631891840893e-13
933.3333333333334,1,2,5,4,5.472174553260642e-13
933.3333333333334,1,2,6,5,6.089839091734559e-13
933.3333333333334,2,1,0,1,1.1605029842061592e-13
933.3333333333334,2,1,1,2,2.379483455533943e-13
933.3333333333334,2,1,2,3,3.561969681493326e-13
933.3333333333334,2,1,3,4,4.61631891840893e-13
933.3333333333334,2,1,4,5,5.472174553260642e-13
933.3333333333334,2,1,5,6,6.089839091734559e-13
933.3333333333334,2,3,1,0,1.6919417030863614e-13
933.3333333333334,2,3,2,1,3.561969681493326e-13
933.3333333333334,2,3,3,2,5.478426705019347e-13
933.3333333333334,2,3,4,3,7.290421469320872e-13
933.3333333333334,2,3,5,4,8.858832014409251e-13
933.3333333333334,2,3,6,5,1.0082602418255354e-12
933.3333333333334,3,2,0,1,1.6919417030863614e-13
933.3333333333334,3,2,1,2,3.561969681493326e-13
933.3333333333334,3,2,2,3,5.478426705019347e-13
933.3333333333334,3,2,3,4,7.290421469320872e-13
933.3333333333334,3,2,4,5,8.858832014409251e-13
933.3333333333334,3,2,5,6,1.0082602418255354e-12
933.3333333333334,3,4,1,0,2.139160579593554e-13
933.3333333333334,3,4,2,1,4.61631891840893e-13
933.3333333333334,3,4,3,2,7.290421469320872e-13
933.3333333333334,3,4,4,3,9.968177620628885e-13
933.3333333333334,3,4,5,4,1.2437475363691246e-12
933.3333333333334,3,4,6,5,1.4510624969247742e-12
933.3333333333334,4,3,0,1,2.139160579593554e-13
933.3333333333334,4,3,1,2,4.61631891840893e-13
933.3333333333334,4,3,2,3,7.290421469320872e-13
933.3333333333334,4,3,3,4,9.968177620628885e-13
933.3333333333334,4,3,4,5,1.2437475363691246e-12
933.3333333333334,4,3,5,6,1.4510624969247742e-12
933.3333333333334,4,5,1,0,2.479494529710415e-13
933.3333333333334,4,5,2,1,5.472174553260642e-13
933.3333333333334,4,5,3,2,8.858832014409251e-13
933.3333333333334,4,5,4,3,1.2437475363691246e-12
933.3333333333334,4,5,5,4,1.594450290267957e-12
933.3333333333334,4,5,6,5,1.910075650535296e-12
933.3333333333334,5,4,0,1,2.479494529710415e-13
933.3333333333334,5,4,1,2,5.472174553260642e-13
933.3333333333334,5,4,2,3,8.858832014409251e-13
933.3333333333334,5,4,3,4,1.2437475363691246e-12
933.3333333333334,5,4,4,5,1.594450290267957e-12
933.3333333333334,5,4,5,6,1.910075650535296e-12
933.3333333333334,5,6,1,0,2.705037713310509e-13
933.3333333333334,5,6,2,1,6.089839091734559e-13
933.3333333333334,5,6,3,2,1.0082602418255354e-12
933.3333333333334,5,6,4,3,1.4510624969247742e-12
933.3333333333334,5,6,5,4,1.910075650535296e-12
933.3333333333334,5,6,6,5,2.3509443465376297e-12
933.3333333333334,6,5,0,1,2.705037713310509e-13
933.3333333333334,6,5,1,2,6.089839091734559e-13
933.3333333333334,6,5,2,3,1.0082602418255354e-12
