T,i1,f1,i2,f2,k_VV
300.0,0,1,1,0,1.2836770680237246e-14
300.0,0,1,2,1,2.4913425246611576e-14
300.0,0,1,3,2,3.351875188207312e-14
300.0,0,1,4,3,3.7526905807416555e-14
300.0,1,0,0,1,1.2836770680237246e-14
300.0,1,0,1,2,2.4913425246611576e-14
300.0,1,0,2,3,3.351875188207312e-14
300.0,1,0,3,4,3.7526905807416555e-14
300.0,1,2,1,0,2.4913425246611576e-14
300.0,1,2,2,1,5.260833340768888e-14
300.0,1,2,3,2,7.65865552589994e-14
300.0,1,2,4,3,9.160598911789857e-14
300.0,2,1,0,1,2.4913425246611576e-14
300.0,2,1,1,2,5.260833340768888e-14
300.0,2,1,2,3,7.65865552589994e-14
300.0,2,1,3,4,9.160598911789857e-14
300.0,2,3,1,0,3.351875188207312e-14
300.0,2,3,2,1,7.65865552589994e-14
300.0,2,3,3,2,1.2131028337543513e-13
300.0,2,3,4,3,1.5700358457555612e-13
300.0,3,2,0,1,3.351875188207312e-14
300.0,3,2,1,2,7.65865552589994e-14
300.0,3,2,2,3,1.2131028337543513e-13
300.0,3,2,3,4,1.5700358457555612e-13
300.0,3,4,1,0,3.7526905807416555e-14
300.0,3,4,2,1,9.160598911789857e-14
300.0,3,4,3,2,1.5700358457555612e-13
300.0,3,4,4,3,2.2108540263571158e-13
300.0,4,3,0,1,3.7526905807416555e-14
300.0,4,3,1,2,9.160598911789857e-14
300.0,4,3,2,3,1.5700358457555612e-13
300.0,4,3,3,4,2.2108540263571158e-13
933.3333333333334,0,1,1,0,5.814640348074074e-14
933.3333333333334,0,1,2,1,1.160502984206159e-13
933.3333333333334,0,1,3,2,1.6919417030863614e-13
933.3333333333334,0,1,4,3,2.139160579593554e-13
933.3333333333334,1,0,0,1,5.814640348074074e-14
933.3333333333334,1,0,1,2,1.160502984206159e-13
933.3333333333334,1,0,2,3,1.6919417030863614e-13
933.3333333333334,1,0,3,4,2.139160579593554e-13
933.3333333333334,1,2,1,0,1.160502984206159e-13
933.3333333333334,1,2,2,1,2.379483455533943e-13
933.3333333333334,1,2,3,2,3.561969681493326e-13
933.3333333333334,1,2,4,3,4.61631891840893e-13
933.3333333333334,2,1,0,1,1.160502984206159e-13
933.3333333333334,2,1,1,2,2.379483455533943e-13
933.3333333333334,2,1,2,3,3.561969681493326e-13
933.3333333333334,2,1,3,4,4.61631891840893e-13
933.3333333333334,2,3,1,0,1.6919417030863614e-13
933.3333333333334,2,3,2,1,3.561969681493326e-13
933.3333333333334,2,3,3,2,5.478426705019347e-13
933.3333333333334,2,3,4,3,7.290421469320871e-13
933.3333333333334,3,2,0,1,1.6919417030863614e-13
933.3333333333334,3,2,1,2,3.561969681493326e-13
933.3333333333334,3,2,2,3,5.478426705019347e-13
933.3333333333334,3,2,3,4,7.290421469320871e-13
933.3333333333334,3,4,1,0,2.139160579593554e-13
933.3333333333334,3,4,2,1,4.61631891840893e-13
933.3333333333334,3,4,3,2,7.290421469320871e-13
933.3333333333334,3,4,4,3,9.968177620628885e-13
933.3333333333334,4,3,0,1,2.139160579593554e-13
933.3333333333334,4,3,1,2,4.61631891840893e-13
933.3333333333334,4,3,2,3,7.290421469320871e-13
933.3333333333334,4,3,3,4,9.968177620628885e-13
1566.6666666666667,0,1,1,0,1.1502700140291309e-13
1566.6666666666667,0,1,2,1,2.307069901308053e-13
