i1,f1,i2,f2,a_0,a_1,a_2,a_3,a_4,a_5,a_6
0,1,1,0,-20.6353592224551,-253.86851055342925,3628.575449317915,-37782.78690236463,249617.33081678816,-931668.2899672094,1489567.1125189753
0,1,2,1,-20.102621956451664,-243.97944398223686,3380.3622792254346,-34384.33625843202,222933.9633193978,-820116.7942871173,1296326.6647149492
0,1,3,2,-19.81963307948238,-236.26685230433378,3187.122253843452,-31769.995672669636,202191.57222655808,-733358.9248702948,1146417.04967648
0,1,4,3,-19.63563851682534,-229.62012371121207,3020.6183562981887,-29545.448760569063,184230.48189658916,-657602.6594919667,1015460.5417591777
0,1,5,4,-19.50430856429601,-223.64742714533813,2871.1466953128984,-27577.793474043723,167975.51915950328,-587688.98516155,893333.3971796158
0,1,6,5,-19.40476465994922,-218.2095857256224,2735.9938648962616,-25842.153978954968,153314.29368532653,-522937.88161205186,777985.8955196098
1,0,0,1,-20.6353592224551,-253.86851055342925,3628.575449317915,-37782.78690236463,249617.33081678816,-931668.2899672094,1489567.1125189753
1,0,1,2,-20.102621956451664,-243.97944398223686,3380.3622792254346,-34384.33625843202,222933.9633193978,-820116.7942871173,1296326.6647149492
1,0,2,3,-19.81963307948238,-236.26685230433378,3187.122253843452,-31769.995672669636,202191.57222655808,-733358.9248702948,1146417.04967648
1,0,3,4,-19.63563851682534,-229.62012371121207,3020.6183562981887,-29545.448760569063,184230.48189658916,-657602.6594919667,1015460.5417591777
1,0,4,5,-19.50430856429601,-223.64742714533813,2871.1466953128984,-27577.793474043723,167975.51915950328,-587688.98516155,893333.3971796158
1,0,5,6,-19.40476465994922,-218.2095857256224,2735.9938648962616,-25842.153978954968,153314.29368532653,-522937.88161205186,777985.8955196098
1,2,1,0,-20.102621956451664,-243.97944398223686,3380.3622792254346,-34384.33625843202,222933.9633193978,-820116.7942871173,1296326.6647149492
1,2,2,1,-19.638232742487375,-230.2382041679009,3036.468460837167,-29655.874207641435,186113.55725457644,-666407.0323890427,1030254.1338603232
1,2,3,2,-19.406937861557093,-219.6398449970403,2772.0925862234712,-26052.557738927102,157933.16604110092,-548945.6426747564,827253.1812747334
1,2,4,3,-19.266127800285304,-210.6057951673249,2547.2997775617105,-23021.552665587697,134035.11576116958,-449337.1286645587,655547.0972176541
1,2,5,4,-19.173088198694334,-202.52272061232046,2346.4358468796877,-20342.59526541672,112628.23242283583,-359534.81635020254,500747.9854273977
1,2,6,5,-19.10905163841382,-195.11165633865383,2162.647953409935,-17922.15598659027,92946.15374275633,-275672.72947716404,354974.97490313073
2,1,0,1,-20.102621956451664,-243.97944398223686,3380.3622792254346,-34384.33625843202,222933.9633193978,-820116.7942871173,1296326.6647149492
2,1,1,2,-19.638232742487375,-230.2382041679009,3036.468460837167,-29655.874207641435,186113.55725457644,-666407.0323890427,1030254.1338603232
2,1,2,3,-19.406937861557093,-219.6398449970403,2772.0925862234712,-26052.557738927102,157933.16604110092,-548945.6426747564,827253.1812747334
