i1,f1,i2,f2,a_0,a_1,a_2,a_3,a_4,a_5,a_6
0,1,1,0,-20.635328850985637,-253.8708250612328,3628.647626999199,-37783.96415337589,249627.904455447,-931717.7684491838,1489661.0944899514
0,1,2,1,-20.102587884365626,-243.98202838084717,3380.4425100236567,-34385.63925653131,222945.61972072572,-820171.1417229653,1296429.5645664926
0,1,3,2,-19.819591146328783,-236.27003480518553,3187.221106906463,-31771.601944231286,202205.94858148246,-733425.9831458553,1146544.0644352415
0,1,4,3,-19.635636407277918,-229.6202840932528,3020.6233464793104,-29545.529978657967,184231.209917429,-657606.0600399391,1015466.9905869561
1,0,0,1,-20.635328850985637,-253.8708250612328,3628.647626999199,-37783.96415337589,249627.904455447,-931717.7684491838,1489661.0944899514
1,0,1,2,-20.102587884365626,-243.98202838084717,3380.4425100236567,-34385.63925653131,222945.61972072572,-820171.1417229653,1296429.5645664926
1,0,2,3,-19.819591146328783,-236.27003480518553,3187.221106906463,-31771.601944231286,202205.94858148246,-733425.9831458553,1146544.0644352415
1,0,3,4,-19.635636407277918,-229.6202840932528,3020.6233464793104,-29545.529978657967,184231.209917429,-657606.0600399391,1015466.9905869561
1,2,1,0,-20.102587884365626,-243.98202838084717,3380.4425100236567,-34385.63925653131,222945.61972072572,-820171.1417229653,1296429.5645664926
1,2,2,1,-19.638211491392433,-230.2398200712156,3036.5187449015025,-29656.692695941972,186120.89469398925,-666441.3082371672,1030319.1403479882
1,2,3,2,-19.40693273816459,-219.64023335518468,2772.1046347803385,-26052.75329453018,157934.91443714095,-548953.7901711619,827268.6002399368
1,2,4,3,-19.266117090555962,-210.60661030375658,2547.3251671405155,-23021.966314456,134038.82712773816,-449354.4793091355,655580.0265837224
2,1,0,1,-20.102587884365626,-243.98202838084717,3380.4425100236567,-34385.63925653131,222945.61972072572,-820171.1417229653,1296429.5645664926
2,1,1,2,-19.638211491392433,-230.2398200712156,3036.5187449015025,-29656.692695941972,186120.89469398925,-666441.3082371672,1030319.1403479882
2,1,2,3,-19.40693273816459,-219.64023335518468,2772.1046347803385,-26052.75329453018,157934.91443714095,-548953.7901711619,827268.6002399368
2,1,3,4,-19.266117090555962,-210.60661030375658,2547.3251671405155,-23021.966314456,134038.82712773816,-449354.4793091355,655580.0265837224
2,3,1,0,-19.819591146328783,-236.27003480518553,3187.221106906463,-31771.601944231286,202205.94858148246,-733425.9831458553,1146544.0644352415
2,3,2,1,-19.40693273816459,-219.64023335518468,2772.1046347803385,-26052.75329453018,157934.91443714095,-548953.7901711619,827268.6002399368
2,3,3,2,-19.21406572648478,-206.92484515837629,2456.0059122958933,-21727.80927160101,124402.1855918454,-409421.9244413935,586358.3814028489
2,3,4,3,-19.104774904717484,-196.17955207457925,2189.9014528576977,-18121.369680118063,96323.50909640416,-292803.08771432523,385392.3441534413
3,2,0,1,-19.819591146328783,-236.27003480518553,3187.221106906463,-31771.601944231286,202205.94858148246,-733425.9831458553,1146544.0644352415
3,2,1,2,-19.40693273816459,-219.64023335518468,2772.1046347803385,-26052.75329453018,157934.91443714095,-548953.7901711619,827268.6002399368
3,2,2,3,-19.21406572648478,-206.92484515837629,2456.0059122958933,-21727.80927160101,124402.1855918454,-409421.9244413935,586358.3814028489
3,2,3,4,-19.104774904717484,-196.17955207457925,2189.9014528576977,-18121.369680118063,96323.50909640416,-292803.08771432523,385392.3441534413
3,4,1,0,-19.635636407277918,-229.6202840932528,3020.6233464793104,-29545.529978657967,184231.209917429,-657606.0600399391,1015466.9905869561
3,4,2,1,-19.266117090555962,-210.60661030375658,2547.3251671405155,-23021.966314456,134038.82712773816,-449354.4793091355,655580.0265837224
3,4,3,2,-19.104774904717484,-196.17955207457925,2189.9014528576977,-18121.369680118063,96323.50909640416,-292803.08771432523,385392.3441534413
3,4,4,3,-19.02120161091726,-184.05803882016917,1890.870656892063,-14053.595507126625,64939.542251850646,-162704.79937785596,161444.48709648725
4,3,0,1,-19.635636407277918,-229.6202840932528,3020.6233464793104,-29545.529978657967,184231.209917429,-657606.0600399391,1015466.9905869561
4,3,1,2,-19.266117090555962,-210.60661030375658,2547.3251671405155,-23021.966314456,134038.82712773816,-449354.4793091355,655580.0265837224
4,3,2,3,-19.104774904717484,-196.17955207457925,2189.9014528576977,-18121.369680118063,96323.50909640416,-292803.08771432523,385392.3441534413
4,3,3,4,-19.02120161091726,-184.05803882016917,1890.870656892063,-14053.595507126625,64939.542251850646,-162704.79937785596,161444.48709648725
