i1,f1,i2,f2,a_0,a_1
1,0,0,1,-26.750791245576245,-35.188822776304306
2,1,0,1,-26.01130927352149,-35.696503806863404
2,1,1,2,-25.34774181105279,-35.13754928270322
2,3,1,0,-25.490964248341502,-37.184390389417075
3,2,0,1,-25.490964248341502,-37.184390389417075
3,2,1,2,-24.8962267296646,-35.64235892000554
3,2,2,3,-24.520127300139084,-35.08388193908682
3,4,1,0,-25.035517357569432,-39.46418976570396
3,4,2,1,-24.49410306844149,-37.126161058264394
4,3,0,1,-25.035517357569432,-39.46418976570396
4,3,1,2,-24.49410306844149,-37.126161058264394
4,3,2,3,-24.1865264768702,-35.58675260733936
4,3,3,4,-23.928161056271342,-35.02770178873043
