T,i,kVT
1000.0,1,1.0750293007859638e-15
1384.6153846153848,1,6.395822488600681e-15
1769.2307692307693,1,2.147823092723871e-14
2153.846153846154,1,5.258041366987613e-14
2538.4615384615386,1,1.0561389401259835e-13
2923.0769230769233,1,1.8549017442544196e-13
3307.6923076923076,1,2.95852557740188e-13
3692.3076923076924,1,4.390522318109181e-13
4076.923076923077,1,6.162594325769869e-13
4461.538461538462,1,8.276372146595916e-13
4846.153846153847,1,1.07253360728125e-12
5230.769230769231,1,1.3496672147565754e-12
5615.384615384615,1,1.6572936801577286e-12
6000.0,1,1.9933479653012215e-12
6384.615384615385,1,2.3555617463224155e-12
6769.2307692307695,1,2.7415575436146274e-12
7153.846153846154,1,3.1489222827343467e-12
7538.461538461539,1,3.5752633313929318e-12
7923.076923076924,1,4.0182500017236e-12
8307.692307692309,1,4.475643246677097e-12
8692.307692307693,1,4.945315933784212e-12
9076.923076923078,1,5.425265716505293e-12
9461.538461538463,1,5.913622179151939e-12
9846.153846153848,1,6.4086496230303064e-12
10230.76923076923,1,6.908746595051885e-12
10615.384615384615,1,7.412443035488468e-12
11000.0,1,7.918395735595598e-12
11384.615384615385,1,8.425382643923953e-12
11769.23076923077,1,8.932296437371922e-12
12153.846153846154,1,9.438137674691825e-12
12538.461538461539,1,9.942007771989768e-12
12923.076923076924,1,1.0443101978052065e-11
13307.692307692309,1,1.0940702478945305e-11
13692.307692307693,1,1.1434171723654104e-11
14076.923076923078,1,1.1922946033381822e-11
14461.538461538463,1,1.2406529534788097e-11
14846.153846153848,1,1.2884488440450595e-11
15230.769230769232,1,1.3356445687073021e-11
15615.384615384617,1,1.3822075932502204e-11
16000.0,1,1.428110090573476e-11
1000.0,2,2.700327607670623e-15
1384.6153846153848,2,1.55617690827786e-14
1769.2307692307693,2,5.111927767681112e-14
2153.846153846154,2,1.2307315345485352e-13
2538.4615384615386,2,2.4392897240981807e-13
2923.0769230769233,2,4.2369169648613535e-13
3307.6923076923076,2,6.694240541245406e-13
3692.3076923076924,2,9.853179120267764e-13
4076.923076923077,2,1.373027508545966e-12
4461.538461538462,2,1.8321071429704434e-12
4846.153846153847,2,2.360462599990854e-12
5230.769230769231,2,2.954768711247942e-12
5615.384615384615,2,3.610831776525136e-12
6000.0,2,4.3238907900822e-12
6384.615384615385,2,5.0888596369581345e-12
6769.2307692307695,2,5.900516388808911e-12
7153.846153846154,2,6.753647312932989e-12
7538.461538461539,2,7.643153321401348e-12
7923.076923076924,2,8.564126003741197e-12
8307.692307692309,2,9.511899502460378e-12
8692.307692307693,2,1.0482083528697554e-11
9076.923076923078,2,1.147058189302238e-11
9461.538461538463,2,1.247360009921957e-11
9846.153846153848,2,1.3487644836564798e-11
10230.76923076923,2,1.4509517609158824e-11
10615.384615384615,2,1.553630425023667e-11
11000.0,2,1.6565361671894162e-11
11384.615384615385,2,1.7594302882321848e-11
11769.23076923077,2,1.862098105002702e-11
12153.846153846154,2,1.9643473195691275e-11
12538.461538461539,2,2.066006393695114e-11
12923.076923076924,2,2.1669229590854613e-11
13307.692307692309,2,2.266962284590213e-11
13692.307692307693,2,2.3660058144622336e-11
14076.923076923078,2,2.4639497863873313e-11
14461.538461538463,2,2.5607039339754888e-11
14846.153846153848,2,2.6561902754181235e-11
15230.769230769232,2,2.750341987843732e-11
15615.384615384617,2,2.8431023653563284e-11
16000.0,2,2.934423857671748e-11
