T,i1,f1,i2,f2,k_VV
300.0,2,1,3,0,9.428374791283637e-31
300.0,3,1,4,0,1.7937795146657661e-31
300.0,3,2,4,1,9.52960610610109e-30
300.0,4,1,5,0,3.42248616601248e-32
300.0,4,2,5,1,3.0322345656618225e-30
300.0,4,3,5,2,5.389449764618554e-29
300.0,5,1,6,0,5.575968198942174e-33
300.0,5,2,6,1,8.712203525332512e-31
300.0,5,3,6,2,2.582085250815693e-29
300.0,5,4,6,3,2.303842322919557e-28
571.4285714285714,2,1,3,0,5.521220513333541e-26
571.4285714285714,3,1,4,0,7.767062330209395e-27
571.4285714285714,3,2,4,1,5.145834415534503e-25
571.4285714285714,4,1,5,0,1.4571960886866214e-27
571.4285714285714,4,2,5,1,1.5757981004079114e-25
571.4285714285714,4,3,5,2,2.66978858983636e-24
571.4285714285714,5,1,6,0,2.3625367526849083e-28
571.4285714285714,5,2,6,1,4.4113368555912674e-26
571.4285714285714,5,3,6,2,1.227636148811695e-24
571.4285714285714,5,4,6,3,1.0409867795602958e-23
842.8571428571429,2,1,3,0,1.0990431109186477e-23
842.8571428571429,3,1,4,0,1.977814047318971e-24
842.8571428571429,3,2,4,1,9.670533532111919e-23
842.8571428571429,4,1,5,0,3.692772512069782e-25
842.8571428571429,4,2,5,1,2.902778506546478e-23
842.8571428571429,4,3,5,2,4.735471521757821e-22
842.8571428571429,5,1,6,0,6.215077614287667e-26
842.8571428571429,5,2,6,1,8.150860022702184e-24
842.8571428571429,5,3,6,2,2.1340536552328255e-22
842.8571428571429,5,4,6,3,1.7421692912742405e-21
1114.2857142857142,2,1,3,0,3.2505441386544484e-22
1114.2857142857142,3,1,4,0,5.809193029243477e-23
1114.2857142857142,3,2,4,1,2.755816066919786e-21
1114.2857142857142,4,1,5,0,1.1008345074029044e-23
1114.2857142857142,4,2,5,1,8.213461582303056e-22
1114.2857142857142,4,3,5,2,1.3000255641707971e-20
1114.2857142857142,5,1,6,0,1.9326665388200594e-24
1114.2857142857142,5,2,6,1,2.3419402967402045e-22
1114.2857142857142,5,3,6,2,5.8163691056861675e-21
1114.2857142857142,5,4,6,3,4.60664859757259e-20
1385.7142857142858,2,1,3,0,3.678897963137944e-21
1385.7142857142858,3,1,4,0,6.575089454889555e-22
1385.7142857142858,3,2,4,1,3.036036725541424e-20
1385.7142857142858,4,1,5,0,1.27235081506793e-22
1385.7142857142858,4,2,5,1,9.047649144615404e-21
1385.7142857142858,4,3,5,2,1.3940076925659262e-19
1385.7142857142858,5,1,6,0,2.3366398400539457e-23
1385.7142857142858,5,2,6,1,2.6356385983410596e-21
1385.7142857142858,5,3,6,2,6.235464481069106e-20
1385.7142857142858,5,4,6,3,4.8072800206592e-19
1657.1428571428573,2,1,3,0,2.3593369056452563e-20
1657.1428571428573,3,1,4,0,4.2352363977728266e-21
1657.1428571428573,3,2,4,1,1.9067067049228702e-19
1657.1428571428573,4,1,5,0,8.395152398439901e-22
1657.1428571428573,4,2,5,1,5.706214280228544e-20
1657.1428571428573,4,3,5,2,8.57293024722087e-19
1657.1428571428573,5,1,6,0,1.6131693938522318e-22
1657.1428571428573,5,2,6,1,1.7034290351311413e-20
1657.1428571428573,5,3,6,2,3.8505365145141186e-19
1657.1428571428573,5,4,6,3,2.894764357884311e-18
1928.5714285714287,2,1,3,0,1.0445712231809017e-19
1928.5714285714287,3,1,4,0,1.8887762226970893e-20
1928.5714285714287,3,2,4,1,8.299064859680985e-19
1928.5714285714287,4,1,5,0,3.8411386279731976e-21
1928.5714285714287,4,2,5,1,2.501393804420006e-19
1928.5714285714287,4,3,5,2,3.668345947096281e-18
1928.5714285714287,5,1,6,0,7.716739882376698e-22
1928.5714285714287,5,2,6,1,7.663835251995779e-20
1928.5714285714287,5,3,6,2,1.6592209452139361e-18
1928.5714285714287,5,4,6,3,1.2176578934319544e-17
2200.0,2,1,3,0,3.5715640007645474e-19
2200.0,3,1,4,0,6.51817192850685e-20
2200.0,3,2,4,1,2.7971789189571467e-18
2200.0,4,1,5,0,1.3609741154035124e-20
2200.0,4,2,5,1,8.508123296462091e-19
2200.0,4,3,5,2,1.2188305634898318e-17
2200.0,5,1,6,0,2.8549807290601913e-21
2200.0,5,2,6,1,2.6772139964144635e-19
2200.0,5,3,6,2,5.56276326302711e-18
2200.0,5,4,6,3,3.9880960898641094e-17
2471.4285714285716,2,1,3,0,1.0106946763446081e-18
2471.4285714285716,3,1,4,0,1.8643816277542097e-19
2471.4285714285716,3,2,4,1,7.818200964551877e-18
2471.4285714285716,4,1,5,0,3.997653867431451e-20
2471.4285714285716,4,2,5,1,2.4032820637748537e-18
2471.4285714285716,4,3,5,2,3.3649348904544627e-17
2471.4285714285716,5,1,6,0,8.744103816228042e-21
2471.4285714285716,5,2,6,1,7.768261444131522e-19
2471.4285714285716,5,3,6,2,1.5518859380354347e-17
2471.4285714285716,5,4,6,3,1.0875244450047743e-16
2742.857142857143,2,1,3,0,2.477271992628873e-18
2742.857142857143,3,1,4,0,4.623695750899064e-19
2742.857142857143,3,2,4,1,1.8955321346549878e-17
2742.857142857143,4,1,5,0,1.0180708965469378e-19
2742.857142857143,4,2,5,1,5.894778803623573e-18
2742.857142857143,4,3,5,2,8.070530999053696e-17
2742.857142857143,5,1,6,0,2.318465504558134e-20
2742.857142857143,5,2,6,1,1.9570995299883416e-18
2742.857142857143,5,3,6,2,3.7650744901628097e-17
2742.857142857143,5,4,6,3,2.5802726301785555e-16
3014.2857142857147,2,1,3,0,5.426567464070449e-18
3014.2857142857147,3,1,4,0,1.0255920971570072e-18
3014.2857142857147,3,2,4,1,4.1120244143270084e-17
3014.2857142857147,4,1,5,0,2.318323047739785e-19
3014.2857142857147,4,2,5,1,1.2946849239088202e-17
3014.2857142857147,4,3,5,2,1.7339546680937256e-16
3014.2857142857147,5,1,6,0,5.488730771335419e-20
3014.2857142857147,5,2,6,1,4.4138121234433926e-18
3014.2857142857147,5,3,6,2,8.188968447681791e-17
3014.2857142857147,5,4,6,3,5.490576829374575e-16
3285.714285714286,2,1,3,0,1.086444866232013e-17
3285.714285714286,3,1,4,0,2.0803509923003587e-18
3285.714285714286,3,2,4,1,8.160404327003093e-17
3285.714285714286,4,1,5,0,4.826018682672875e-19
3285.714285714286,4,2,5,1,2.6027818031938423e-17
3285.714285714286,4,3,5,2,3.4112369792396726e-16
3285.714285714286,5,1,6,0,1.1861690919864284e-19
3285.714285714286,5,2,6,1,9.1079718213296e-18
3285.714285714286,5,3,6,2,1.6317995823963355e-16
3285.714285714286,5,4,6,3,1.0708306938195605e-15
3557.1428571428573,2,1,3,0,2.021163901872157e-17
3557.1428571428573,3,1,4,0,3.922745150559924e-18
3557.1428571428573,3,2,4,1,1.5059296517715046e-16
3557.1428571428573,4,1,5,0,9.334861406194033e-19
3557.1428571428573,4,2,5,1,4.8677514706081483e-17
3557.1428571428573,4,3,5,2,6.245317081025798e-16
3557.1428571428573,5,1,6,0,2.3786876520895523e-19
3557.1428571428573,5,2,6,1,1.747620546863278e-17
3557.1428571428573,5,3,6,2,3.027265495664424e-16
3557.1428571428573,5,4,6,3,1.9450366882189887e-15
3828.571428571429,2,1,3,0,3.5378621071907295e-17
3828.571428571429,3,1,4,0,6.961768951044835e-18
3828.571428571429,3,2,4,1,2.6164504881084817e-16
3828.571428571429,4,1,5,0,1.6986240074517436e-18
3828.571428571429,4,2,5,1,8.573613058245122e-17
3828.571428571429,4,3,5,2,1.0771751990430914e-15
3828.571428571429,5,1,6,0,4.481688330893804e-19
3828.571428571429,5,2,6,1,3.1564672963773734e-17
3828.571428571429,5,3,6,2,5.292380118282004e-16
3828.571428571429,5,4,6,3,3.3304446732778864e-15
