T,i1,f1,i2,f2,k_VV
300.0,0,1,1,0,2.35712542602201e-14
300.0,0,1,2,1,4.628914578539174e-14
300.0,0,1,3,2,6.404510736925548e-14
300.0,0,1,4,3,7.462001381837785e-14
300.0,0,1,5,4,7.798029967497354e-14
300.0,1,0,0,1,2.35712542602201e-14
300.0,1,0,1,2,4.628914578539174e-14
300.0,1,0,2,3,6.404510736925548e-14
300.0,1,0,3,4,7.462001381837785e-14
300.0,1,0,4,5,7.798029967497354e-14
300.0,1,2,1,0,4.628914578539174e-14
300.0,1,2,2,1,9.712227861896237e-14
300.0,1,2,3,2,1.4307295359928438e-13
300.0,1,2,4,3,1.75997909846284e-13
300.0,1,2,5,4,1.922952601412697e-13
300.0,2,1,0,1,4.628914578539174e-14
300.0,2,1,1,2,9.712227861896237e-14
300.0,2,1,2,3,1.4307295359928438e-13
300.0,2,1,3,4,1.75997909846284e-13
300.0,2,1,4,5,1.922952601412697e-13
300.0,2,3,1,0,6.404510736925548e-14
300.0,2,3,2,1,1.4307295359928438e-13
300.0,2,3,3,2,2.251917273221554e-13
300.0,2,3,4,3,2.9493993143981186e-13
300.0,2,3,5,4,3.4022826998454487e-13
300.0,3,2,0,1,6.404510736925548e-14
300.0,3,2,1,2,1.4307295359928438e-13
300.0,3,2,2,3,2.251917273221554e-13
300.0,3,2,3,4,2.9493993143981186e-13
300.0,3,2,4,5,3.4022826998454487e-13
300.0,3,4,1,0,7.462001381837785e-14
300.0,3,4,2,1,1.75997909846284e-13
300.0,3,4,3,2,2.9493993143981186e-13
300.0,3,4,4,3,4.127242392901257e-13
300.0,3,4,5,4,5.068902155136836e-13
300.0,4,3,0,1,7.462001381837785e-14
300.0,4,3,1,2,1.75997909846284e-13
300.0,4,3,2,3,2.9493993143981186e-13
300.0,4,3,3,4,4.127242392901257e-13
300.0,4,3,4,5,5.068902155136836e-13
300.0,4,5,1,0,7.798029967497354e-14
300.0,4,5,2,1,1.922952601412697e-13
300.0,4,5,3,2,3.4022826998454487e-13
300.0,4,5,4,3,5.068902155136836e-13
300.0,4,5,5,4,6.651098012096022e-13
300.0,5,4,0,1,7.798029967497354e-14
300.0,5,4,1,2,1.922952601412697e-13
300.0,5,4,2,3,3.4022826998454487e-13
300.0,5,4,3,4,5.068902155136836e-13
300.0,5,4,4,5,6.651098012096022e-13
650.0,0,1,1,0,6.605994180953864e-14
