T,i1,f1,i2,f2,k_VV
300.0,0,1,1,0,2.5303858347684363e-14
300.0,0,1,2,1,4.9691570859987055e-14
300.0,0,1,3,2,6.875261486705958e-14
300.0,0,1,4,3,8.010478218414521e-14
300.0,0,1,5,4,8.371205351095669e-14
300.0,0,1,6,5,8.108203421484899e-14
300.0,1,0,0,1,2.5303858347684363e-14
300.0,1,0,1,2,4.9691570859987055e-14
300.0,1,0,2,3,6.875261486705958e-14
300.0,1,0,3,4,8.010478218414521e-14
300.0,1,0,4,5,8.371205351095669e-14
300.0,1,0,5,6,8.108203421484899e-14
300.0,1,2,1,0,4.9691570859987055e-14
300.0,1,2,2,1,1.0426093849688773e-13
300.0,1,2,3,2,1.5358887675843595e-13
300.0,1,2,4,3,1.8893369041167868e-13
300.0,1,2,5,4,2.0642882983780723e-13
300.0,1,2,6,5,2.0716398067452367e-13
300.0,2,1,0,1,4.9691570859987055e-14
300.0,2,1,1,2,1.0426093849688773e-13
300.0,2,1,2,3,1.5358887675843595e-13
300.0,2,1,3,4,1.8893369041167868e-13
300.0,2,1,4,5,2.0642882983780723e-13
300.0,2,1,5,6,2.0716398067452367e-13
300.0,2,3,1,0,6.875261486705958e-14
300.0,2,3,2,1,1.5358887675843595e-13
300.0,2,3,3,2,2.4174296311580217e-13
300.0,2,3,4,3,3.166171331724913e-13
300.0,2,3,5,4,3.652337636499346e-13
300.0,2,3,6,5,3.832140739115041e-13
300.0,3,2,0,1,6.875261486705958e-14
300.0,3,2,1,2,1.5358887675843595e-13
300.0,3,2,2,3,2.4174296311580217e-13
300.0,3,2,3,4,3.166171331724913e-13
300.0,3,2,4,5,3.652337636499346e-13
300.0,3,2,5,6,3.832140739115041e-13
300.0,3,4,1,0,8.010478218414521e-14
300.0,3,4,2,1,1.8893369041167868e-13
300.0,3,4,3,2,3.166171331724913e-13
300.0,3,4,4,3,4.4305735791579375e-13
300.0,3,4,5,4,5.441433111625108e-13
300.0,3,4,6,5,6.027639126533174e-13
300.0,4,3,0,1,8.010478218414521e-14
300.0,4,3,1,2,1.8893369041167868e-13
300.0,4,3,2,3,3.166171331724913e-13
300.0,4,3,3,4,4.4305735791579375e-13
300.0,4,3,4,5,5.441433111625108e-13
300.0,4,3,5,6,6.027639126533174e-13
300.0,4,5,1,0,8.371205351095669e-14
300.0,4,5,2,1,2.0642882983780723e-13
300.0,4,5,3,2,3.652337636499346e-13
300.0,4,5,4,3,5.441433111625108e-13
300.0,4,5,5,4,7.1398948671417e-13
300.0,4,5,6,5,8.420203098662659e-13
300.0,5,4,0,1,8.371205351095669e-14
300.0,5,4,1,2,2.0642882983780723e-13
300.0,5,4,2,3,3.652337636499346e-13
300.0,5,4,3,4,5.441433111625108e-13
300.0,5,4,4,5,7.1398948671417e-13
300.0,5,4,5,6,8.420203098662659e-13
300.0,5,6,1,0,8.108203421484899e-14
300.0,5,6,2,1,2.0716398067452367e-13
300.0,5,6,3,2,3.832140739115041e-13
300.0,5,6,4,3,6.027639126533174e-13
300.0,5,6,5,4,8.420203098662659e-13
300.0,5,6,6,5,1.0608493309151945e-12
300.0,6,5,0,1,8.108203421484899e-14
300.0,6,5,1,2,2.0716398067452367e-13
300.0,6,5,2,3,3.832140739115041e-13
300.0,6,5,3,4,6.027639126533174e-13
300.0,6,5,4,5,8.420203098662659e-13
300.0,6,5,5,6,1.0608493309151945e-12
933.3333333333334,0,1,1,0,1.1446297112257914e-13
933.3333333333334,0,1,2,1,2.296195154237665e-13
933.3333333333334,0,1,3,2,3.384906302800971e-13
933.3333333333334,0,1,4,3,4.3498967258411276e-13
933.3333333333334,0,1,5,4,5.147384723962261e-13
933.3333333333334,0,1,6,5,5.75352616957165e-13
933.3333333333334,1,0,0,1,1.1446297112257914e-13
933.3333333333334,1,0,1,2,2.296195154237665e-13
933.3333333333334,1,0,2,3,3.384906302800971e-13
933.3333333333334,1,0,3,4,4.3498967258411276e-13
933.3333333333334,1,0,4,5,5.147384723962261e-13
933.3333333333334,1,0,5,6,5.75352616957165e-13
933.3333333333334,1,2,1,0,2.296195154237665e-13
933.3333333333334,1,2,2,1,4.702530354148105e-13
933.3333333333334,1,2,3,2,7.075218359454036e-13
933.3333333333334,1,2,4,3,9.270718701963407e-13
933.3333333333334,1,2,5,4,1.1169384832208057e-12
933.3333333333334,1,2,6,5,1.2689775903377967e-12
933.3333333333334,2,1,0,1,2.296195154237665e-13
933.3333333333334,2,1,1,2,4.702530354148105e-13
933.3333333333334,2,1,2,3,7.075218359454036e-13
933.3333333333334,2,1,3,4,9.270718701963407e-13
933.3333333333334,2,1,4,5,1.1169384832208057e-12
933.3333333333334,2,1,5,6,1.2689775903377967e-12
933.3333333333334,2,3,1,0,3.384906302800971e-13
933.3333333333334,2,3,2,1,7.075218359454036e-13
933.3333333333334,2,3,3,2,1.0869790929333754e-12
933.3333333333334,2,3,4,3,1.4538378235594003e-12
933.3333333333334,2,3,5,4,1.7860893661494229e-12
933.3333333333334,2,3,6,5,2.0661114399723407e-12
933.3333333333334,3,2,0,1,3.384906302800971e-13
933.3333333333334,3,2,1,2,7.075218359454036e-13
933.3333333333334,3,2,2,3,1.0869790929333754e-12
933.3333333333334,3,2,3,4,1.4538378235594003e-12
933.3333333333334,3,2,4,5,1.7860893661494229e-12
933.3333333333334,3,2,5,6,2.0661114399723407e-12
933.3333333333334,3,4,1,0,4.3498967258411276e-13
933.3333333333334,3,4,2,1,9.270718701963407e-13
933.3333333333334,3,4,3,2,1.4538378235594003e-12
933.3333333333334,3,4,4,3,1.9856635888291333e-12
933.3333333333334,3,4,5,4,2.4901326453932562e-12
933.3333333333334,3,4,6,5,2.9372803837337615e-12
933.3333333333334,4,3,0,1,4.3498967258411276e-13
933.3333333333334,4,3,1,2,9.270718701963407e-13
933.3333333333334,4,3,2,3,1.4538378235594003e-12
933.3333333333334,4,3,3,4,1.9856635888291333e-12
933.3333333333334,4,3,4,5,2.4901326453932562e-12
933.3333333333334,4,3,5,6,2.9372803837337615e-12
933.3333333333334,4,5,1,0,5.147384723962261e-13
933.3333333333334,4,5,2,1,1.1169384832208057e-12
933.3333333333334,4,5,3,2,1.7860893661494229e-12
933.3333333333334,4,5,4,3,2.4901326453932562e-12
933.3333333333334,4,5,5,4,3.1888340523122107e-12
933.3333333333334,4,5,6,5,3.839513133912837e-12
933.3333333333334,5,4,0,1,5.147384723962261e-13
933.3333333333334,5,4,1,2,1.1169384832208057e-12
933.3333333333334,5,4,2,3,1.7860893661494229e-12
933.3333333333334,5,4,3,4,2.4901326453932562e-12
933.3333333333334,5,4,4,5,3.1888340523122107e-12
933.3333333333334,5,4,5,6,3.839513133912837e-12
933.3333333333334,5,6,1,0,5.75352616957165e-13
933.3333333333334,5,6,2,1,1.2689775903377967e-12
933.3333333333334,5,6,3,2,2.0661114399723407e-12
933.3333333333334,5,6,4,3,2.9372803837337615e-12
933.3333333333334,5,6,5,4,3.839513133912837e-12
933.3333333333334,5,6,6,5,4.720618281094904e-12
933.3333333333334,6,5,0,1,5.75352616957165e-13
933.3333333333334,6,5,1,2,1.2689775903377967e-12
933.3333333333334,6,5,2,3,2.0661114399723407e-12
933.3333333333334,6,5,3,4,2.9372803837337615e-12
933.3333333333334,6,5,4,5,3.839513133912837e-12
933.3333333333334,6,5,5,6,4.720618281094904e-12
1566.6666666666667,0,1,1,0,2.2612839144624164e-13
1566.6666666666667,0,1,2,1,4.550569499329065e-13
1566.6666666666667,0,1,3,2,6.787882016085101e-13
1566.6666666666667,0,1,4,3,8.896347299399831e-13
1566.6666666666667,0,1,5,4,1.0810656088183785e-12
1566.6666666666667,0,1,6,5,1.2481447572063572e-12
1566.6666666666667,1,0,0,1,2.2612839144624164e-13
1566.6666666666667,1,0,1,2,4.550569499329065e-13
1566.6666666666667,1,0,2,3,6.787882016085101e-13
1566.6666666666667,1,0,3,4,8.896347299399831e-13
1566.6666666666667,1,0,4,5,1.0810656088183785e-12
1566.6666666666667,1,0,5,6,1.2481447572063572e-12
1566.6666666666667,1,2,1,0,4.550569499329065e-13
1566.6666666666667,1,2,2,1,9.263218063072595e-13
1566.6666666666667,1,2,3,2,1.3978561152531578e-12
1566.6666666666667,1,2,4,3,1.8529374974425815e-12
1566.6666666666667,1,2,5,4,2.2761954758414104e-12
1566.6666666666667,1,2,6,5,2.6549461947230755e-12
1566.6666666666667,2,1,0,1,4.550569499329065e-13
1566.6666666666667,2,1,1,2,9.263218063072595e-13
1566.6666666666667,2,1,2,3,1.3978561152531578e-12
1566.6666666666667,2,1,3,4,1.8529374974425815e-12
1566.6666666666667,2,1,4,5,2.2761954758414104e-12
1566.6666666666667,2,1,5,6,2.6549461947230755e-12
1566.6666666666667,2,3,1,0,6.787882016085101e-13
1566.6666666666667,2,3,2,1,1.3978561152531578e-12
1566.6666666666667,2,3,3,2,2.1346383686404304e-12
1566.6666666666667,2,3,4,3,2.863250115142392e-12
1566.6666666666667,2,3,5,4,3.5579528182668736e-12
1566.6666666666667,2,3,6,5,4.1957104858059115e-12
1566.6666666666667,3,2,0,1,6.787882016085101e-13
1566.6666666666667,3,2,1,2,1.3978561152531578e-12
1566.6666666666667,3,2,2,3,2.1346383686404304e-12
1566.6666666666667,3,2,3,4,2.863250115142392e-12
1566.6666666666667,3,2,4,5,3.5579528182668736e-12
1566.6666666666667,3,2,5,6,4.1957104858059115e-12
1566.6666666666667,3,4,1,0,8.896347299399831e-13
1566.6666666666667,3,4,2,1,1.8529374974425815e-12
1566.6666666666667,3,4,3,2,2.863250115142392e-12
1566.6666666666667,3,4,4,3,3.886967166632212e-12
1566.6666666666667,3,4,5,4,4.887892081798586e-12
1566.6666666666667,3,4,6,5,5.830949083427434e-12
1566.6666666666667,4,3,0,1,8.896347299399831e-13
1566.6666666666667,4,3,1,2,1.8529374974425815e-12
1566.6666666666667,4,3,2,3,2.863250115142392e-12
1566.6666666666667,4,3,3,4,3.886967166632212e-12
1566.6666666666667,4,3,4,5,4.887892081798586e-12
1566.6666666666667,4,3,5,6,5.830949083427434e-12
1566.6666666666667,4,5,1,0,1.0810656088183785e-12
1566.6666666666667,4,5,2,1,2.2761954758414104e-12
1566.6666666666667,4,5,3,2,3.5579528182668736e-12
1566.6666666666667,4,5,4,3,4.887892081798586e-12
1566.6666666666667,4,5,5,4,6.221067482518975e-12
1566.6666666666667,4,5,6,5,7.510318452863096e-12
1566.6666666666667,5,4,0,1,1.0810656088183785e-12
1566.6666666666667,5,4,1,2,2.2761954758414104e-12
1566.6666666666667,5,4,2,3,3.5579528182668736e-12
1566.6666666666667,5,4,3,4,4.887892081798586e-12
1566.6666666666667,5,4,4,5,6.221067482518975e-12
1566.6666666666667,5,4,5,6,7.510318452863096e-12
1566.6666666666667,5,6,1,0,1.2481447572063572e-12
1566.6666666666667,5,6,2,1,2.6549461947230755e-12
1566.6666666666667,5,6,3,2,4.1957104858059115e-12
1566.6666666666667,5,6,4,3,5.830949083427434e-12
1566.6666666666667,5,6,5,4,7.510318452863096e-12
1566.6666666666667,5,6,6,5,9.176598657649713e-12
1566.6666666666667,6,5,0,1,1.2481447572063572e-12
1566.6666666666667,6,5,1,2,2.6549461947230755e-12
1566.6666666666667,6,5,2,3,4.1957104858059115e-12
1566.6666666666667,6,5,3,4,5.830949083427434e-12
1566.6666666666667,6,5,4,5,7.510318452863096e-12
1566.6666666666667,6,5,5,6,9.176598657649713e-12
2200.0,0,1,1,0,3.5213068264336855e-13
2200.0,0,1,2,1,7.090879510480766e-13
2200.0,0,1,3,2,1.0625017954507437e-12
2200.0,0,1,4,3,1.4038006760493405e-12
2200.0,0,1,5,4,1.7251925250129668e-12
2200.0,0,1,6,5,2.0201368336863897e-12
2200.0,1,0,0,1,3.5213068264336855e-13
2200.0,1,0,1,2,7.090879510480766e-13
2200.0,1,0,2,3,1.0625017954507437e-12
2200.0,1,0,3,4,1.4038006760493405e-12
2200.0,1,0,4,5,1.7251925250129668e-12
2200.0,1,0,5,6,2.0201368336863897e-12
2200.0,1,2,1,0,7.090879510480766e-13
2200.0,1,2,2,1,1.4383326498615877e-12
2200.0,1,2,3,2,2.171571997943882e-12
2200.0,1,2,4,3,2.890885048907543e-12
2200.0,1,2,5,4,3.579053160557956e-12
2200.0,1,2,6,5,4.2208077964907545e-12
2200.0,2,1,0,1,7.090879510480766e-13
2200.0,2,1,1,2,1.4383326498615877e-12
2200.0,2,1,2,3,2.171571997943882e-12
2200.0,2,1,3,4,2.890885048907543e-12
2200.0,2,1,4,5,3.579053160557956e-12
2200.0,2,1,5,6,4.2208077964907545e-12
2200.0,2,3,1,0,1.0625017954507437e-12
2200.0,2,3,2,1,2.171571997943882e-12
2200.0,2,3,3,2,3.304532377857076e-12
2200.0,2,3,4,3,4.4341564412409705e-12
2200.0,2,3,5,4,5.532774158851555e-12
2200.0,2,3,6,5,6.574485109888153e-12
2200.0,3,2,0,1,1.0625017954507437e-12
2200.0,3,2,1,2,2.171571997943882e-12
2200.0,3,2,2,3,3.304532377857076e-12
2200.0,3,2,3,4,4.4341564412409705e-12
2200.0,3,2,4,5,5.532774158851555e-12
