i1,f1,i2,f2,a_0,mape_pct,a_1,a_2,a_3,a_4,a_5,a_6
0,1,1,0,-20.33801284152202,3.189655574477319e-05,-232.0723831816338,3082.3761258114328,-30285.423394394118,191029.42546688477,-686929.5322612895,1065773.7201513858
0,1,2,1,-19.952720931015946,3.5588481689539424e-06,-213.74794029517187,2625.6406035641594,-24052.14271214993,142399.83672357845,-484314.6304364047,715673.7740510431
0,1,3,2,-19.781039456467155,2.5067592210374183e-05,-199.6915089504351,2276.986310721948,-19334.04364619762,105518.0641197275,-330950.7234270277,451391.1942631833
0,1,4,3,-19.690253866494917,4.3979802024593155e-05,-187.75359722201975,1982.0216406486052,-15377.405816776065,74427.80537118642,-201543.22330607817,228848.26346905733
0,1,5,4,-19.642034103936894,6.035430864351578e-05,-177.0591977928301,1718.3083564545493,-11866.485438386819,46576.55949381513,-84765.72293992179,27413.91651911658
0,1,6,5,-19.618531834716507,7.486332035226608e-05,-167.29795154489315,1478.8076512602183,-8714.815007510837,21345.229533545655,22140.590203645184,-158266.72022809606
1,0,0,1,-20.33801284152202,3.189655574477319e-05,-232.0723831816338,3082.3761258114328,-30285.423394394118,191029.42546688477,-686929.5322612895,1065773.7201513858
1,0,1,2,-19.952720931015946,3.5588481689539424e-06,-213.74794029517187,2625.6406035641594,-24052.14271214993,142399.83672357845,-484314.6304364047,715673.7740510431
1,0,2,3,-19.781039456467155,2.5067592210374183e-05,-199.6915089504351,2276.986310721948,-19334.04364619762,105518.0641197275,-330950.7234270277,451391.1942631833
1,0,3,4,-19.690253866494917,4.3979802024593155e-05,-187.75359722201975,1982.0216406486052,-15377.405816776065,74427.80537118642,-201543.22330607817,228848.26346905733
1,0,4,5,-19.642034103936894,6.035430864351578e-05,-177.0591977928301,1718.3083564545493,-11866.485438386819,46576.55949381513,-84765.72293992179,27413.91651911658
1,0,5,6,-19.618531834716507,7.486332035226608e-05,-167.29795154489315,1478.8076512602183,-8714.815007510837,21345.229533545655,22140.590203645184,-158266.72022809606
1,2,1,0,-19.952720931015946,3.5588481689539424e-06,-213.74794029517187,2625.6406035641594,-24052.14271214993,142399.83672357845,-484314.6304364047,715673.7740510431
1,2,2,1,-19.683452503035475,4.1964163465933166e-05,-189.07756931446661,2014.9503123537263,-15738.934915334945,78001.5156749504,-216914.15828055947,254830.21185763617
1,2,3,2,-19.59444620866334,6.96395460471731e-05,-170.6148725308062,1561.6351293339708,-9625.090663243529,30748.321036739173,-21514.378777573023,-80756.88553788142
1,2,4,3,-19.56915551305933,9.119576065548028e-05,-155.2779758775977,1187.8292771105205,-4634.602548640426,-7817.724792234721,137418.246797926,-352664.3956488068
1,2,5,4,-19.57520243014302,0.00010851572923154426,-141.85106665476482,862.5602305934092,-334.9734828506904,-41147.23709427781,274735.57858622633,-586932.440254973
1,2,6,5,-19.598680817363437,0.00012286631190023986,-129.7766176026898,571.985357331847,3463.335266341885,-70747.36857574222,397172.25496201066,-795892.1177939988
2,1,0,1,-19.952720931015946,3.5588481689539424e-06,-213.74794029517187,2625.6406035641594,-24052.14271214993,142399.83672357845,-484314.6304364047,715673.7740510431
2,1,1,2,-19.683452503035475,4.1964163465933166e-05,-189.07756931446661,2014.9503123537263,-15738.934915334945,78001.5156749504,-216914.15828055947,254830.21185763617
2,1,2,3,-19.59444620866334,6.96395460471731e-05,-170.6148725308062,1561.6351293339708,-9625.090663243529,30748.321036739173,-21514.378777573023,-80756.88553788142
2,1,3,4,-19.56915551305933,9.119576065548028e-05,-155.2779758775977,1187.8292771105205,-4634.602548640426,-7817.724792234721,137418.246797926,-352664.3956488068
2,1,4,5,-19.57520243014302,0.00010851572923154426,-141.85106665476482,862.5602305934092,-334.9734828506904,-41147.23709427781,274735.57858622633,-586932.440254973
2,1,5,6,-19.598680817363437,0.00012286631190023986,-129.7766176026898,571.985357331847,3463.335266341885,-70747.36857574222,397172.25496201066,-795892.1177939988
2,3,1,0,-19.781039456467155,2.5067592210374183e-05,-199.6915089504351,2276.986310721948,-19334.04364619762,105518.0641197275,-330950.7234270277,451391.1942631833
2,3,2,1,-19.59444620866334,6.96395460471731e-05,-170.6148725308062,1561.6351293339708,-9625.090663243529,30748.321036739173,-21514.378777573023,-80756.88553788142
2,3,3,2,-19.56170653055965,9.899193093222217e-05,-149.27175384813197,1042.0939810638185,-2643.9591960350276,-22751.044247713526,198754.8255956287,-457798.3976259056
2,3,4,3,-19.578448396276602,0.00012047383736449625,-131.8925289270801,623.5475322737891,2913.380328767347,-65176.25717970131,372417.1167967681,-753600.6102589299
2,3,5,4,-19.617213945654484,0.0001366398121849543,-116.9789534411833,267.9846253791877,7574.487423390548,-100693.51732651949,517066.3147161022,-998669.7867103353
2,3,6,5,-19.667940205400747,0.0001486200113482291,-103.7260036184856,-45.30798832614887,11631.760765650484,-131665.47508247776,643039.4359123092,-1211278.467576441
3,2,0,1,-19.781039456467155,2.5067592210374183e-05,-199.6915089504351,2276.986310721948,-19334.04364619762,105518.0641197275,-330950.7234270277,451391.1942631833
3,2,1,2,-19.59444620866334,6.96395460471731e-05,-170.6148725308062,1561.6351293339708,-9625.090663243529,30748.321036739173,-21514.378777573023,-80756.88553788142
3,2,2,3,-19.56170653055965,9.899193093222217e-05,-149.27175384813197,1042.0939810638185,-2643.9591960350276,-22751.044247713526,198754.8255956287,-457798.3976259056
3,2,3,4,-19.578448396276602,0.00012047383736449625,-131.8925289270801,623.5475322737891,2913.380328767347,-65176.25717970131,372417.1167967681,-753600.6102589299
3,2,4,5,-19.617213945654484,0.0001366398121849543,-116.9789534411833,267.9846253791877,7574.487423390548,-100693.51732651949,517066.3147161022,-998669.7867103353
3,2,5,6,-19.667940205400747,0.0001486200113482291,-103.7260036184856,-45.30798832614887,11631.760765650484,-131665.47508247776,643039.4359123092,-1211278.467576441
3,4,1,0,-19.690253866494917,4.3979802024593155e-05,-187.75359722201975,1982.0216406486052,-15377.405816776065,74427.80537118642,-201543.22330607817,228848.26346905733
3,4,2,1,-19.56915551305933,9.119576065548028e-05,-155.2779758775977,1187.8292771105205,-4634.602548640426,-7817.724792234721,137418.246797926,-352664.3956488068
3,4,3,2,-19.578448396276602,0.00012047383736449625,-131.8925289270801,623.5475322737891,2913.380328767347,-65176.25717970131,372417.1167967681,-753600.6102589299
3,4,4,3,-19.27782242187286,0.0010085956151750129,-139.55860526897982,998.3441066672679,-4548.808780742567,9964.218019183068,-5047.632544429073,-1874.2484437684668
3,4,5,4,-19.6847323164712,0.00015456251615844163,-97.47246870341465,-190.10206661368386,13571.299012256115,-145364.02235778538,697201.4083653023,-1302047.7768606741
3,4,6,5,-19.751231981477307,0.00016379077963965855,-83.72229735048377,-508.6611659901467,17645.021132565078,-175823.1432964119,819224.7395397497,-1505937.54853259
4,3,0,1,-19.690253866494917,4.3979802024593155e-05,-187.75359722201975,1982.0216406486052,-15377.405816776065,74427.80537118642,-201543.22330607817,228848.26346905733
4,3,1,2,-19.56915551305933,9.119576065548028e-05,-155.2779758775977,1187.8292771105205,-4634.602548640426,-7817.724792234721,137418.246797926,-352664.3956488068
4,3,2,3,-19.578448396276602,0.00012047383736449625,-131.8925289270801,623.5475322737891,2913.380328767347,-65176.25717970131,372417.1167967681,-753600.6102589299
4,3,3,4,-19.27782242187286,0.0010085956151750129,-139.55860526897982,998.3441066672679,-4548.808780742567,9964.218019183068,-5047.632544429073,-1874.2484437684668
4,3,4,5,-19.6847323164712,0.00015456251615844163,-97.47246870341465,-190.10206661368386,13571.299012256115,-145364.02235778538,697201.4083653023,-1302047.7768606741
4,3,5,6,-19.751231981477307,0.00016379077963965855,-83.72229735048377,-508.6611659901467,17645.021132565078,-175823.1432964119,819224.7395397497,-1505937.54853259
4,5,1,0,-19.642034103936894,6.035430864351578e-05,-177.0591977928301,1718.3083564545493,-11866.485438386819,46576.55949381513,-84765.72293992179,27413.91651911658
4,5,2,1,-19.57520243014302,0.00010851572923154426,-141.85106665476482,862.5602305934092,-334.9734828506904,-41147.23709427781,274735.57858622633,-586932.440254973
4,5,3,2,-19.617213945654484,0.0001366398121849543,-116.9789534411833,267.9846253791877,7574.487423390548,-100693.51732651949,517066.3147161022,-998669.7867103353
4,5,4,3,-19.6847323164712,0.00015456251615844163,-97.47246870341465,-190.10206661368386,13571.299012256115,-145364.02235778538,697201.4083653023,-1302047.7768606741
4,5,5,4,-19.76041123966431,0.00016515375671257923,-81.21928756581505,-565.8400729435417,18412.42098007575,-181152.0885835803,840294.6556612261,-1541146.5527680577
4,5,6,5,-19.835542949508028,0.00017140925981195355,-67.39112529684911,-879.0921908261265,22358.25647812517,-209997.4132831096,954047.370262787,-1728918.428365369
5,4,0,1,-19.642034103936894,6.035430864351578e-05,-177.0591977928301,1718.3083564545493,-11866.485438386819,46576.55949381513,-84765.72293992179,27413.91651911658
5,4,1,2,-19.57520243014302,0.00010851572923154426,-141.85106665476482,862.5602305934092,-334.9734828506904,-41147.23709427781,274735.57858622633,-586932.440254973
5,4,2,3,-19.617213945654484,0.0001366398121849543,-116.9789534411833,267.9846253791877,7574.487423390548,-100693.51732651949,517066.3147161022,-998669.7867103353
5,4,3,4,-19.6847323164712,0.00015456251615844163,-97.47246870341465,-190.10206661368386,13571.299012256115,-145364.02235778538,697201.4083653023,-1302047.7768606741
5,4,4,5,-19.76041123966431,0.00016515375671257923,-81.21928756581505,-565.8400729435417,18412.42098007575,-181152.0885835803,840294.6556612261,-1541146.5527680577
5,4,5,6,-19.835542949508028,0.00017140925981195355,-67.39112529684911,-879.0921908261265,22358.25647812517,-209997.4132831096,954047.370262787,-1728918.428365369
5,6,1,0,-19.618531834716507,7.486332035226608e-05,-167.29795154489315,1478.8076512602183,-8714.815007510837,21345.229533545655,22140.590203645184,-158266.72022809606
5,6,2,1,-19.598680817363437,0.00012286631190023986,-129.7766176026898,571.985357331847,3463.335266341885,-70747.36857574222,397172.25496201066,-795892.1177939988
5,6,3,2,-19.667940205400747,0.0001486200113482291,-103.7260036184856,-45.30798832614887,11631.760765650484,-131665.47508247776,643039.4359123092,-1211278.467576441
