T,i1,f1,i2,f2,k_VV
300.0,1,0,0,1,3.1402043678747736e-15
634.4827586206897,1,0,0,1,9.651582317835993e-15
968.9655172413793,1,0,0,1,1.8202211636599435e-14
1303.4482758620688,1,0,0,1,2.8378890974661973e-14
1637.9310344827586,1,0,0,1,3.994765763614622e-14
1972.4137931034484,1,0,0,1,5.275192079228833e-14
2306.8965517241377,1,0,0,1,6.667712809445926e-14
2641.3793103448274,1,0,0,1,8.163464016250861e-14
2975.862068965517,1,0,0,1,9.755314740676371e-14
3310.344827586207,1,0,0,1,1.14373615609179e-13
3644.8275862068967,1,0,0,1,1.3204608665013656e-13
3979.310344827586,1,0,0,1,1.5052754019192438e-13
4313.793103448275,1,0,0,1,1.6978040224215213e-13
4648.275862068966,1,0,0,1,1.8977146855932765e-13
4982.758620689655,1,0,0,1,2.104711052131363e-13
5317.241379310345,1,0,0,1,2.318526406966014e-13
5651.724137931034,1,0,0,1,2.5389189426325454e-13
5986.206896551724,1,0,0,1,2.76566803536978e-13
6320.689655172414,1,0,0,1,2.998571260095708e-13
6655.172413793103,1,0,0,1,3.237441965562231e-13
6989.6551724137935,1,0,0,1,3.4821072811719657e-13
7324.137931034483,1,0,0,1,3.7324064612645325e-13
7658.620689655172,1,0,0,1,3.988189496664056e-13
7993.103448275862,1,0,0,1,4.2493159403608994e-13
8327.58620689655,1,0,0,1,4.5156539065751296e-13
8662.068965517241,1,0,0,1,4.787079211553639e-13
8996.551724137931,1,0,0,1,5.063474631245468e-13
9331.034482758621,1,0,0,1,5.344729256133317e-13
9665.51724137931,1,0,0,1,5.630737927423923e-13
10000.0,1,0,0,1,5.921400741833565e-13
300.0,1,0,1,2,6.096120075753138e-15
634.4827586206897,1,0,1,2,1.9156342020295617e-14
968.9655172413793,1,0,1,2,3.637798247798081e-14
1303.4482758620688,1,0,1,2,5.690793386869563e-14
1637.9310344827586,1,0,1,2,8.026643521212901e-14
1972.4137931034484,1,0,1,2,1.0613337977626935e-13
2306.8965517241377,1,0,1,2,1.3427502037909464e-13
2641.3793103448274,1,0,1,2,1.6451070058234868e-13
2975.862068965517,1,0,1,2,1.9669520552155023e-13
3310.344827586207,1,0,1,2,2.307083924089763e-13
3644.8275862068967,1,0,1,2,2.664486379208654e-13
3979.310344827586,1,0,1,2,3.0382846416436716e-13
4313.793103448275,1,0,1,2,3.427714909394935e-13
4648.275862068966,1,0,1,2,3.832102375226024e-13
4982.758620689655,1,0,1,2,4.2508449145297236e-13
5317.241379310345,1,0,1,2,4.683400688747788e-13
5651.724137931034,1,0,1,2,5.129278531465165e-13
5986.206896551724,1,0,1,2,5.58803036114701e-13
6320.689655172414,1,0,1,2,6.059245101510975e-13
6655.172413793103,1,0,1,2,6.542543744397355e-13
6989.6551724137935,1,0,1,2,7.037575292674474e-13
7324.137931034483,1,0,1,2,7.544013390905053e-13
7658.620689655172,1,0,1,2,8.061553500517936e-13
7993.103448275862,1,0,1,2,8.589910511123148e-13
8327.58620689655,1,0,1,2,9.128816704876185e-13
8662.068965517241,1,0,1,2,9.678020009380973e-13
8996.551724137931,1,0,1,2,1.0237282488480788e-12
9331.034482758621,1,0,1,2,1.0806379030757666e-12
9665.51724137931,1,0,1,2,1.138509620356396e-12
10000.0,1,0,1,2,1.1973231246594124e-12
300.0,0,1,1,0,3.1402043678747736e-15
634.4827586206897,0,1,1,0,9.651582317835993e-15
968.9655172413793,0,1,1,0,1.8202211636599435e-14
1303.4482758620688,0,1,1,0,2.8378890974661973e-14
1637.9310344827586,0,1,1,0,3.994765763614622e-14
1972.4137931034484,0,1,1,0,5.275192079228833e-14
2306.8965517241377,0,1,1,0,6.667712809445926e-14
2641.3793103448274,0,1,1,0,8.163464016250861e-14
2975.862068965517,0,1,1,0,9.755314740676371e-14
3310.344827586207,0,1,1,0,1.14373615609179e-13
3644.8275862068967,0,1,1,0,1.3204608665013656e-13
3979.310344827586,0,1,1,0,1.5052754019192438e-13
4313.793103448275,0,1,1,0,1.6978040224215213e-13
4648.275862068966,0,1,1,0,1.8977146855932765e-13
4982.758620689655,0,1,1,0,2.104711052131363e-13
5317.241379310345,0,1,1,0,2.318526406966014e-13
