i1,f1,i2,f2,a_0,a_1,a_2,a_3,a_4,a_5,a_6
1,0,0,1,-19.762054564561303,-325.9216700554949,4938.194848695013,-52714.369314331896,350539.28346794605,-1300780.6399883307,2050551.607218196
1,0,1,2,-19.06167706327751,-325.6172913516836,4930.549794138674,-52622.967861596735,349736.2613937464,-1297493.2170095122,2045041.0114373146
0,1,1,0,-19.762054564561303,-325.9216700554949,4938.194848695013,-52714.369314331896,350539.28346794605,-1300780.6399883307,2050551.607218196
1,0,2,3,-18.64900273825483,-325.2981801171055,4922.449300990454,-52549.33662347449,348851.81260610896,-1293729.3721009751,2038947.2117663396
0,1,2,1,-19.06167706327751,-325.6172913516836,4930.549794138674,-52622.967861596735,349736.2613937464,-1297493.2170095122,2045041.0114373146
1,0,3,4,-18.354155517551582,-324.96002246391816,4913.6463782163055,-52486.31879555464,347770.78598119045,-1288480.7087070167,2030122.3261940035
0,1,3,2,-18.64900273825483,-325.2981801171055,4922.449300990454,-52549.33662347449,348851.81260610896,-1293729.3721009751,2038947.2117663396
1,0,4,5,-18.123574984489874,-324.62918048824855,4905.015425145272,-52447.558812265255,346574.3638806743,-1281466.8928077,2016973.514738725
0,1,4,3,-18.354155517551582,-324.96002246391816,4913.6463782163055,-52486.31879555464,347770.78598119045,-1288480.7087070167,2030122.3261940035
0,1,5,4,-18.123574984489874,-324.62918048824855,4905.015425145272,-52447.558812265255,346574.3638806743,-1281466.8928077,2016973.514738725
2,1,0,1,-19.476392044265143,-301.739345566556,4332.373041713774,-44484.21769987697,287162.85764168476,-1041861.6874495846,1613867.1863917394
2,1,1,2,-18.780964116023505,-301.15578742723255,4317.788648714851,-44273.30211646586,285642.2706544862,-1035658.367275582,1603371.8327890486
1,2,1,0,-19.476392044265143,-301.739345566556,4332.373041713774,-44484.21769987697,287162.85764168476,-1041861.6874495846,1613867.1863917394
2,1,2,3,-18.373243638442563,-300.5583255794709,4302.86594703109,-44083.55976375866,284087.28409105766,-1029312.3996055095,1592720.7478127202
