i1,f1,i2,f2,a_0,a_1,a_2,a_3,a_4,a_5,a_6
1,0,0,1,-19.367513878788408,-149.0717168374751,495.2014987917641,7865.67057571961,-115980.02150523975,607511.1848860192,-1171375.9037412067
1,0,1,2,-20.086581226415536,-67.33682069306481,-1543.2421902652004,35494.55602902601,-327873.6830937709,1471222.409971151,-2625545.1086944966
0,1,1,0,-19.367513878788408,-149.0717168374751,495.2014987917641,7865.67057571961,-115980.02150523975,607511.1848860192,-1171375.9037412067
1,0,2,3,-20.768973156498166,-4.5312231224437545,-3102.1277745572233,56526.592646430916,-488864.7729233915,2125999.740755652,-3725786.142884493
0,1,2,1,-20.086581226415536,-67.33682069306481,-1543.2421902652004,35494.55602902601,-327873.6830937709,1471222.409971151,-2625545.1086944966
1,0,3,4,-21.405951741321097,48.71750627632066,-4417.753873160855,74192.34905130991,-623893.4622645235,2674180.154568161,-4645040.329308832
0,1,3,2,-20.768973156498166,-4.5312231224437545,-3102.1277745572233,56526.592646430916,-488864.7729233915,2125999.740755652,-3725786.142884493
1,0,4,5,-22.007643078899783,96.1302622975972,-5584.709661296849,89795.89853850823,-743124.9156075475,3158051.0952842208,-5455726.434382668
0,1,4,3,-21.405951741321097,48.71750627632066,-4417.753873160855,74192.34905130991,-623893.4622645235,2674180.154568161,-4645040.329308832
0,1,5,4,-22.007643078899783,96.1302622975972,-5584.709661296849,89795.89853850823,-743124.9156075475,3158051.0952842208,-5455726.434382668
2,1,0,1,-20.086581226415536,-67.33682069306481,-1543.2421902652004,35494.55602902601,-327873.6830937709,1471222.409971151,-2625545.1086944966
2,1,1,2,-21.322623517331913,42.99398535795355,-4276.342573940828,72365.35531316689,-609325.1728283524,2614697.146191529,-4545720.0692931665
1,2,1,0,-20.086581226415536,-67.33682069306481,-1543.2421902652004,35494.55602902601,-327873.6830937709,1471222.409971151,-2625545.1086944966
2,1,2,3,-22.374310549609973,125.7237723173194,-6309.63954195597,99612.32987568104,-816422.2149775282,3452839.847749918,-5948775.585613809
1,2,2,1,-21.322623517331913,42.99398535795355,-4276.342573940828,72365.35531316689,-609325.1728283524,2614697.146191529,-4545720.0692931665
2,1,3,4,-23.306551594212923,194.55951482560704,-7989.790970475228,121986.84986600786,-985908.8204044508,4136481.600518581,-7089910.601274301
1,2,3,2,-22.374310549609973,125.7237723173194,-6309.63954195597,99612.32987568104,-816422.2149775282,3452839.847749918,-5948775.585613809
2,1,4,5,-24.15640150914445,254.78543731027818,-9450.6143980025,141326.0684980701,-1132027.9949865874,4724340.236606132,-8068642.656303069
1,2,4,3,-23.306551594212923,194.55951482560704,-7989.790970475228,121986.84986600786,-985908.8204044508,4136481.600518581,-7089910.601274301
1,2,5,4,-24.15640150914445,254.78543731027818,-9450.6143980025,141326.0684980701,-1132027.9949865874,4724340.236606132,-8068642.656303069
3,2,0,1,-20.768973156498166,-4.5312231224437545,-3102.1277745572233,56526.592646430916,-488864.7729233915,2125999.740755652,-3725786.142884493
3,2,1,2,-22.374310549609973,125.7237723173194,-6309.63954195597,99612.32987568104,-816422.2149775282,3452839.847749918,-5948775.585613809
2,3,1,0,-20.768973156498166,-4.5312231224437545,-3102.1277745572233,56526.592646430916,-488864.7729233915,2125999.740755652,-3725786.142884493
3,2,2,3,-23.679173820638884,221.60730529263364,-8646.761875356748,130747.10339013996,-1051719.9190274074,4401237.447962916,-7531264.630366984
2,3,2,1,-22.374310549609973,125.7237723173194,-6309.63954195597,99612.32987568104,-816422.2149775282,3452839.847749918,-5948775.585613809
3,2,3,4,-24.806838072010265,300.2410157154126,-10546.491086982567,155864.0603011896,-1240618.049099994,5159296.106245676,-8791701.731533565
